vggish_point,label
1298-318,mooring
13-0,calibration
13-101,humpback
13-102,humpback
13-105,airplane
13-106,airplane
13-107,airplane
13-116,humpback
13-117,humpback
13-94,humpback
13-95,humpback
1304-0,calibration
1304-831,flow noise
1304-832,flow noise
1304-833,flow noise
1304-834,flow noise
1304-835,flow noise
1304-836,flow noise
1304-837,flow noise
1304-838,flow noise
1304-839,flow noise
1305-0,calibration
1305-330,flow noise
1305-331,flow noise
1305-332,flow noise
1305-343,mooring
1305-344,mooring
1305-346,mooring
1305-347,mooring
1305-348,mooring
131-0,calibration
131-668,mooring
131-669,mooring
131-670,mooring
131-677,mooring
131-678,mooring
131-679,mooring
131-680,mooring
1324-0,calibration
1324-330,flow noise
1324-331,flow noise
1324-332,flow noise
1324-337,flow noise
1324-338,flow noise
1324-339,flow noise
1324-341,fish-humpback
1324-342,fish-humpback
1324-343,fish
1324-345,mooring
1324-346,mooring
133-0,calibration
133-60,flow noise
133-61,flow noise
133-70,humpback
133-71,humpback
133-72,humpback
133-73,humpback
133-74,humpback-mooring
133-75,humpback-mooring
133-76,flow noise-mooring
133-77,flow noise
133-78,flow noise
133-79,flow noise
133-80,flow noise
133-81,flow noise
133-82,flow noise
133-83,flow noise
133-84,humpback
133-85,humpback
133-86,humpback
133-87,humpback-mooring
133-88,mooring
133-89,flow noise-mooring
137-0,calibration
137-533,fish
137-534,fish
137-535,fish
137-536,fish
146-0,calibration
146-270,flow noise
146-271,flow noise-humpback
146-272,flow noise-humpback
146-273,flow noise
146-274,flow noise
146-275,flow noise
146-276,flow noise-humpback
146-277,flow noise-humpback
146-278,flow noise-humpback
146-279,flow noise
146-280,flow noise
146-281,flow noise
146-282,flow noise
146-283,flow noise
146-284,flow noise
146-285,flow noise
146-286,flow noise
146-287,flow noise
146-290,flow noise-humpback
146-291,flow noise-humpback
146-292,flow noise-humpback
146-293,flow noise
146-294,flow noise
146-295,flow noise-humpback
146-296,flow noise
146-299,humpback
150-0,calibration
150-540,humpback
150-541,humpback
150-542,humpback
150-543,humpback
150-555,humpback
150-556,humpback
150-569,humpback
155-0,calibration
155-126,humpback
155-128,humpback
155-129,humpback
155-130,humpback
155-137,humpback
155-138,humpback
155-146,humpback
155-147,humpback
155-148,humpback
155-691,humpback
155-692,humpback
155-693,fish
155-694,fish
155-695,fish
155-696,fish
155-697,fish
155-698,fish
155-699,humpback
155-701,humpback
155-702,humpback
155-713,humpback
155-714,humpback
159-0,calibration
159-212,fish
159-213,fish-helicopter
159-214,fish-helicopter
159-215,fish-helicopter
159-216,helicopter
159-217,helicopter
159-218,helicopter
162-0,calibration
162-363,mooring
162-364,flow noise-mooring
162-365,flow noise
162-366,flow noise
162-367,flow noise
162-368,flow noise
162-369,flow noise
162-370,flow noise
162-371,flow noise-mooring
162-372,flow noise-mooring
162-373,flow noise-mooring
162-374,flow noise
162-375,flow noise
162-376,flow noise
162-377,flow noise
162-378,flow noise
162-379,flow noise
162-380,flow noise
163-0,calibration
163-145,airplane
163-146,airplane
163-147,airplane
163-148,airplane
166-0,calibration
166-663,humpback
166-665,humpback
166-666,humpback
166-667,humpback
166-668,humpback
166-669,humpback
166-670,humpback
166-671,humpback
166-672,humpback
166-673,humpback
166-676,humpback
166-677,humpback
166-678,humpback
166-679,humpback
166-687,humpback
166-688,humpback
169-0,calibration
169-427,flow noise
169-428,flow noise
169-429,flow noise
169-430,flow noise
169-431,flow noise
169-432,flow noise
169-433,flow noise
169-434,flow noise
169-435,flow noise
169-436,flow noise
169-437,flow noise
169-438,flow noise
169-439,flow noise
169-440,flow noise
169-441,flow noise
169-442,flow noise
169-443,flow noise
169-444,flow noise-humpback
169-445,flow noise-humpback
169-446,flow noise
169-447,flow noise-humpback
169-448,flow noise-humpback
169-449,flow noise
169-843,flow noise
169-844,flow noise
169-845,flow noise
169-846,flow noise
169-847,flow noise
169-848,flow noise
169-849,flow noise
169-850,flow noise
169-851,flow noise
169-852,flow noise
169-853,flow noise
169-854,flow noise
169-855,flow noise
169-856,flow noise
169-857,flow noise
169-858,flow noise
169-859,flow noise
169-860,flow noise
169-861,flow noise
171-0,calibration
171-734,mooring
171-735,mooring
175-0,calibration
175-369,flow noise
175-370,flow noise
175-371,mooring
175-372,mooring
175-374,mooring
175-375,mooring
175-376,mooring
175-380,airplane
175-381,airplane
175-382,airplane
175-383,airplane
175-421,flow noise-mooring
175-422,flow noise-mooring
175-423,flow noise
175-424,flow noise
175-425,flow noise
175-426,flow noise
175-435,helicopter
175-436,helicopter
175-437,helicopter
175-438,helicopter
175-439,helicopter
175-440,helicopter
175-444,flow noise-mooring
175-445,flow noise-mooring
175-446,flow noise
175-447,flow noise-mooring
175-448,flow noise-mooring
175-449,flow noise
182-0,calibration
182-120,humpback
182-121,humpback
182-122,humpback
182-123,humpback
182-124,humpback
182-125,humpback
182-126,flow noise-humpback
182-127,flow noise
182-128,flow noise-humpback
182-129,flow noise-humpback
182-130,flow noise-humpback
182-131,humpback
182-132,humpback
182-134,humpback
182-135,humpback
182-136,humpback
182-137,humpback
182-138,humpback
182-139,humpback
182-140,flow noise-humpback
182-141,flow noise-humpback
182-142,flow noise
182-143,humpback
182-144,humpback
182-145,humpback
182-146,humpback
182-147,humpback
182-148,humpback
182-149,humpback
183-0,calibration
183-274,mooring
183-275,mooring
183-276,mooring
192-0,calibration
192-300,humpback
192-301,humpback
192-311,humpback
192-312,humpback
192-313,humpback
192-314,humpback
192-324,humpback
192-325,humpback
192-328,humpback
192-329,humpback
193-0,calibration
193-750,flow noise
193-751,flow noise-humpback
193-752,flow noise-humpback
193-754,humpback
193-757,humpback
193-758,humpback
193-770,humpback
193-771,humpback
194-0,calibration
194-180,flow noise
194-181,flow noise
194-182,flow noise
194-183,flow noise-mooring
194-184,flow noise
194-185,flow noise
194-186,mooring
194-187,mooring
194-192,flow noise-mooring
194-193,flow noise-mooring
194-194,flow noise
194-195,flow noise
194-196,flow noise
194-197,flow noise
194-198,flow noise
194-201,mooring
194-202,mooring
194-203,mooring
194-204,mooring
194-205,flow noise
194-206,flow noise-mooring
194-207,flow noise-mooring
194-208,flow noise
194-209,flow noise
202-0,calibration
202-407,helicopter
202-408,helicopter
202-409,helicopter
202-410,helicopter
202-411,helicopter
202-412,helicopter
202-413,helicopter
202-414,helicopter
202-780,fish
202-781,fish
202-795,helicopter
202-796,helicopter
202-797,helicopter
202-798,helicopter
202-799,helicopter
202-800,helicopter
202-806,mooring
202-807,mooring
204-0,calibration
204-841,humpback
204-848,humpback
204-849,humpback
204-850,humpback
204-851,humpback
204-853,humpback
204-854,humpback
204-859,humpback
204-860,humpback
204-861,humpback
204-862,humpback
204-863,humpback-mooring
204-864,mooring
204-865,mooring
204-866,humpback
206-0,calibration
206-30,humpback
206-31,humpback
206-32,humpback
206-33,humpback
206-34,humpback
206-35,humpback
206-36,humpback
206-37,humpback
206-38,humpback
206-39,humpback
206-40,humpback
206-43,humpback
206-44,humpback
206-45,humpback
206-46,humpback
206-48,humpback
206-49,humpback
206-50,humpback
206-51,humpback
206-52,humpback
206-53,humpback
206-54,humpback
206-55,humpback
206-56,humpback
206-57,humpback
206-58,humpback
206-59,humpback
206-600,humpback
206-601,humpback
206-602,humpback
206-610,humpback
206-612,humpback
206-613,humpback
206-614,humpback
206-615,humpback
206-616,humpback
206-620,humpback
206-621,humpback
206-625,humpback
206-626,humpback
206-627,humpback
206-628,humpback
206-629,humpback
211-0,calibration
211-511,flow noise
211-512,flow noise
211-513,flow noise-mooring
211-514,flow noise-mooring
211-515,flow noise-mooring
211-516,flow noise
211-517,flow noise
211-518,flow noise
211-519,flow noise
211-520,flow noise
211-527,flow noise
211-528,flow noise
211-529,flow noise
211-531,flow noise
211-532,flow noise-mooring
211-533,flow noise-mooring
211-534,flow noise
211-535,flow noise
211-536,flow noise-mooring
211-537,mooring
211-540,flow noise
211-541,flow noise
211-550,mooring
211-551,mooring
211-557,flow noise
211-558,flow noise
211-559,mooring
211-560,flow noise
211-561,flow noise
211-562,flow noise
211-564,mooring
211-565,mooring
211-566,mooring
211-568,flow noise
211-569,flow noise
221-0,calibration
221-780,flow noise
221-781,flow noise
221-782,flow noise
221-787,flow noise
221-788,flow noise
221-789,flow noise
221-790,flow noise
221-791,flow noise
221-792,flow noise
221-793,flow noise
221-794,flow noise
221-795,flow noise
221-796,flow noise
221-797,flow noise
221-798,flow noise
221-799,flow noise
221-800,flow noise
221-801,flow noise
221-802,flow noise
221-803,flow noise
225-0,calibration
225-600,humpback
225-601,humpback
225-602,humpback
225-606,humpback
225-607,humpback
225-609,humpback
225-610,humpback
225-611,humpback
225-612,humpback
225-613,humpback
225-614,humpback
225-615,humpback
225-623,humpback
225-624,humpback
225-625,humpback
225-626,humpback
226-0,calibration
226-484,mooring
226-486,mooring
226-488,mooring
226-490,humpback
226-491,humpback
226-494,humpback
226-495,humpback
226-496,mooring
226-497,mooring
226-499,mooring
226-501,mooring
226-505,humpback
226-506,humpback
226-507,humpback
226-508,humpback
226-509,humpback
229-0,calibration
229-780,humpback
229-781,humpback
229-782,humpback
229-787,humpback
229-788,humpback
229-789,humpback
229-790,humpback
229-791,humpback
229-792,humpback
229-793,humpback
229-794,humpback
229-795,humpback
229-796,humpback
229-800,humpback
229-801,humpback
229-802,humpback
229-803,humpback
229-804,humpback
229-805,humpback
232-0,calibration
232-340,helicopter
232-341,helicopter
232-342,helicopter
232-343,helicopter
232-344,helicopter
232-345,helicopter
232-346,helicopter
232-347,helicopter
232-348,helicopter
234-0,calibration
234-662,humpback
234-663,humpback
234-667,humpback
234-682,humpback
234-683,humpback
238-0,calibration
238-545,humpback
238-548,humpback
238-549,humpback
238-560,humpback
238-561,humpback
238-568,humpback
238-569,humpback
241-0,calibration
241-12,mooring
241-13,mooring
244-0,calibration
244-311,humpback
244-312,humpback
244-314,humpback
244-315,humpback
244-320,humpback
244-321,humpback
244-322,humpback
244-323,fish-humpback
244-324,fish-humpback
244-325,fish
244-326,humpback
244-327,humpback
244-329,humpback
244-330,humpback
247-0,calibration
247-10,mooring
247-11,mooring
247-13,flow noise
247-14,flow noise
247-15,flow noise
247-16,flow noise
247-17,flow noise-mooring
247-18,flow noise-mooring
247-19,flow noise
247-20,flow noise-mooring
247-21,flow noise
247-22,flow noise
247-23,flow noise-mooring
247-24,mooring
247-25,flow noise
247-26,flow noise
247-27,flow noise
247-28,flow noise-mooring
247-29,flow noise-mooring
247-540,flow noise
247-541,flow noise
247-542,flow noise
247-543,flow noise
247-544,flow noise
247-545,flow noise-mooring
247-546,mooring
247-547,mooring
247-549,mooring
247-550,mooring
247-551,mooring
247-553,flow noise
247-554,flow noise
247-555,flow noise
247-556,flow noise
247-557,flow noise-mooring
247-558,flow noise-mooring
247-559,flow noise-mooring
247-560,flow noise
247-561,flow noise-mooring
247-562,flow noise-mooring
247-563,flow noise-mooring
247-564,flow noise
247-565,flow noise
247-566,flow noise
247-567,flow noise
247-568,flow noise-mooring
247-569,flow noise-mooring
247-6,mooring
247-7,mooring
250-0,calibration
250-751,humpback
250-752,humpback
250-753,humpback
250-754,humpback
250-755,humpback
250-756,humpback
250-758,humpback
250-759,humpback
250-760,humpback
250-761,humpback
250-762,humpback
250-764,humpback
250-765,humpback
250-766,humpback
250-767,humpback
250-768,humpback
250-778,humpback
250-779,humpback
254-0,calibration
254-131,mooring
254-132,mooring
254-133,mooring
254-136,mooring
254-137,mooring
254-139,mooring
254-140,mooring
254-141,mooring
254-144,mooring
254-147,mooring
254-148,mooring
255-0,calibration
255-600,humpback
255-601,humpback
255-602,humpback
255-603,humpback
255-604,humpback
255-606,humpback
255-607,humpback
255-609,humpback
255-610,humpback
255-611,humpback
255-612,humpback
255-613,humpback
255-614,humpback
255-615,humpback
255-616,humpback
255-617,humpback
255-618,humpback
255-620,humpback
255-621,humpback
255-624,humpback
255-625,humpback
255-626,humpback
255-627,humpback
255-628,humpback
259-0,calibration
259-187,humpback
259-188,humpback
259-189,humpback
259-190,humpback
259-197,humpback
259-198,humpback
259-200,humpback
259-541,humpback
259-542,humpback
259-543,humpback
259-544,humpback
259-545,humpback
259-546,humpback
259-547,humpback
259-548,humpback
259-549,humpback
259-550,humpback
259-552,humpback
259-553,humpback
259-554,humpback
259-569,humpback
260-0,calibration
260-100,humpback
260-101,humpback
260-102,humpback
260-103,humpback
260-104,humpback
260-106,humpback
260-107,humpback
260-108,humpback
260-109,humpback
260-110,humpback
260-111,humpback
260-112,humpback
260-113,humpback
260-115,humpback
260-116,humpback
260-117,humpback
260-118,humpback
260-119,humpback
260-180,humpback
260-181,humpback
260-182,humpback
260-183,humpback
260-184,humpback
260-185,humpback
260-186,humpback
260-187,humpback
260-188,humpback
260-189,humpback
260-190,humpback
260-191,humpback
260-192,humpback
260-193,humpback
260-194,humpback
260-195,humpback
260-196,humpback
260-198,humpback
260-199,humpback
260-201,humpback
260-202,humpback
260-203,humpback
260-205,humpback
260-206,humpback
260-91,humpback
260-92,humpback
260-94,humpback
260-95,humpback
260-97,humpback
260-98,humpback
260-99,humpback
271-0,calibration
271-334,mooring
271-335,flow noise-mooring
271-336,flow noise-mooring
271-337,flow noise
271-344,mooring
271-345,mooring
271-346,mooring
271-347,flow noise-mooring
271-348,flow noise
271-349,flow noise
271-350,flow noise
271-351,flow noise
271-352,flow noise
271-353,flow noise
271-354,flow noise
271-355,flow noise
271-356,flow noise
271-357,flow noise
271-358,flow noise
271-359,flow noise
274-0,calibration
274-754,mooring
274-755,mooring
274-757,mooring
274-758,mooring
274-759,mooring
274-760,mooring
274-764,mooring
274-765,mooring
274-766,mooring
274-768,mooring
274-769,mooring
280-0,calibration
280-750,flow noise
280-751,flow noise-humpback
280-752,flow noise-humpback
280-753,flow noise-humpback
280-754,flow noise
280-755,flow noise
280-756,flow noise
280-757,flow noise
280-758,flow noise
280-759,flow noise
280-760,flow noise
280-761,flow noise
280-762,flow noise
280-763,flow noise
280-764,flow noise
280-765,flow noise
280-766,flow noise-humpback
280-767,flow noise
280-768,flow noise
280-769,humpback
280-770,humpback
280-771,humpback
280-774,flow noise
280-775,flow noise
280-776,flow noise
280-777,flow noise
280-778,flow noise
280-779,flow noise
283-0,calibration
283-842,humpback
283-843,humpback
283-844,humpback
283-845,humpback
283-846,humpback
283-847,humpback
283-848,humpback
283-849,humpback
283-850,humpback
283-851,humpback
283-852,humpback
283-853,humpback
283-854,humpback
283-855,humpback
283-856,humpback
283-858,humpback
283-859,humpback
283-860,humpback
283-861,humpback
283-862,humpback
283-863,humpback
283-864,humpback
283-865,humpback
283-866,humpback
283-867,humpback
283-868,humpback
283-869,humpback
286-0,calibration
286-121,humpback
286-122,humpback
286-126,fish
286-127,fish
286-128,fish
286-129,fish
286-130,fish
286-131,fish
286-132,fish-humpback
286-133,humpback
286-138,flow noise
286-139,flow noise
286-146,humpback
286-147,humpback
288-0,calibration
288-513,humpback
288-525,humpback
288-526,humpback
288-528,humpback
288-529,humpback
289-0,calibration
289-789,humpback
289-790,humpback
289-804,humpback
289-805,humpback
294-0,calibration
294-721,airplane
294-722,airplane
294-723,airplane
294-724,airplane
294-729,humpback
294-730,humpback
294-739,humpback
294-740,humpback
294-742,humpback
294-743,humpback
294-785,humpback
294-786,humpback
294-797,helicopter
294-798,helicopter
294-799,helicopter
294-800,helicopter
294-801,helicopter
294-802,helicopter
294-803,helicopter
306-0,calibration
306-217,mooring
306-218,mooring
306-230,flow noise
306-231,flow noise
306-232,flow noise
306-235,mooring
306-236,mooring
312-0,calibration
312-462,mooring
312-463,humpback-mooring
312-464,humpback
312-475,humpback
312-476,humpback
312-870,humpback
312-871,humpback
312-872,flow noise-humpback
312-873,flow noise
312-874,flow noise
312-875,flow noise
312-876,flow noise
312-877,flow noise
312-878,flow noise
312-879,flow noise
312-880,flow noise-mooring
312-881,flow noise-mooring
312-882,flow noise-mooring
312-883,flow noise
312-884,flow noise
312-887,humpback
312-888,humpback
312-891,flow noise
312-892,flow noise
312-893,flow noise
312-895,mooring
312-896,mooring
314-0,calibration
314-124,flow noise
314-125,flow noise
314-126,flow noise
314-127,flow noise
314-128,flow noise
314-129,flow noise
314-137,mooring
314-147,mooring
314-148,mooring
316-0,calibration
316-810,flow noise
316-811,flow noise
316-812,flow noise
316-813,flow noise
316-814,flow noise-mooring
316-815,flow noise-mooring
316-816,flow noise
316-817,flow noise
316-820,flow noise
316-821,flow noise
316-823,fish
316-824,fish
316-825,fish
316-835,fish
316-836,fish
319-0,calibration
319-690,humpback
319-691,humpback
319-692,humpback
319-693,humpback
319-694,humpback
319-695,humpback
319-696,humpback
319-697,humpback
319-698,humpback
319-699,humpback
319-700,humpback
319-701,humpback
319-702,humpback
319-703,humpback
319-705,humpback
319-706,humpback
319-707,humpback
319-708,humpback
319-710,humpback
319-711,humpback
319-712,humpback
319-713,humpback
319-714,humpback
319-715,humpback
319-716,humpback
319-717,humpback
319-718,humpback
324-0,calibration
324-425,humpback
324-426,humpback
324-435,humpback
324-436,humpback
324-446,humpback
324-447,humpback
326-0,calibration
326-517,humpback
326-518,humpback
326-519,humpback
326-528,humpback
326-529,humpback
328-0,calibration
328-100,humpback
328-101,humpback
328-102,humpback
328-104,humpback
328-106,humpback
328-107,humpback
328-108,humpback
328-109,humpback
328-111,humpback
328-112,humpback
328-114,humpback
328-115,humpback
328-301,humpback
328-302,flow noise-humpback
328-303,flow noise-humpback
328-304,flow noise-humpback
328-305,flow noise-humpback
328-306,flow noise
328-307,humpback
328-308,humpback
328-310,humpback
328-311,humpback
328-312,flow noise
328-313,flow noise
328-314,flow noise-humpback
328-315,flow noise-humpback
328-317,humpback
328-318,humpback
328-319,humpback
328-321,humpback
328-322,humpback
328-324,airplane
328-325,airplane
328-326,airplane
328-327,airplane-flow noise
328-328,flow noise
328-329,flow noise
328-390,humpback
328-391,flow noise-humpback
328-392,flow noise
328-393,flow noise
328-394,flow noise
328-395,flow noise
328-396,flow noise
328-397,flow noise
328-398,flow noise
328-399,flow noise-humpback
328-400,flow noise-humpback
328-401,flow noise-humpback
328-402,flow noise
328-403,flow noise-helicopter-humpback
328-404,flow noise-helicopter
328-405,flow noise-helicopter
328-406,flow noise-helicopter
328-407,flow noise-helicopter-humpback
328-408,flow noise-humpback
328-409,flow noise
328-413,flow noise
328-414,flow noise
328-415,flow noise-humpback
328-416,humpback
328-418,humpback
328-419,humpback
328-452,humpback
328-453,flow noise-humpback
328-454,flow noise
328-456,humpback
328-457,humpback
328-458,humpback
328-459,humpback
328-460,humpback
328-465,humpback
328-466,humpback
328-467,flow noise
328-468,flow noise
328-469,flow noise
328-470,flow noise
328-471,flow noise-humpback
328-472,humpback
328-473,humpback
328-474,humpback
328-476,airplane
328-477,airplane
328-478,airplane
328-479,airplane
328-511,humpback
328-512,humpback
328-513,helicopter
328-514,helicopter
328-515,helicopter
328-516,helicopter
328-517,helicopter
328-518,helicopter
328-519,helicopter
328-527,humpback
328-528,humpback
328-530,flow noise-humpback
328-531,flow noise-humpback
328-532,flow noise
328-533,flow noise
328-534,flow noise
328-535,flow noise
328-601,humpback
328-602,humpback
328-614,humpback
328-615,humpback
328-617,humpback
328-618,humpback
328-625,airplane
328-626,airplane
328-627,airplane
328-628,airplane
328-90,airplane
328-91,airplane
328-92,airplane
328-93,airplane
328-94,airplane
328-95,humpback
328-96,humpback
328-97,humpback
328-99,humpback
333-0,calibration
333-847,humpback
333-848,humpback
333-849,mooring
333-850,mooring
333-851,flow noise-mooring
333-852,flow noise
333-853,flow noise
333-857,flow noise
333-858,flow noise
336-0,calibration
336-511,mooring
336-512,mooring
336-513,mooring
336-516,mooring
336-517,mooring
336-521,mooring
336-522,mooring
336-523,mooring
336-525,flow noise
336-526,flow noise-mooring
336-527,flow noise-mooring
336-528,mooring
336-536,mooring
336-537,mooring
341-0,calibration
341-692,humpback
341-693,humpback
341-694,humpback
341-695,humpback
341-696,humpback
341-707,flow noise
341-708,flow noise
341-709,flow noise
341-710,flow noise
341-711,flow noise-humpback
341-712,flow noise-humpback
341-713,flow noise-humpback
341-714,flow noise
344-0,calibration
344-14,mooring
344-15,mooring
344-16,mooring
344-17,mooring
344-21,mooring
344-22,mooring
344-23,mooring
344-24,mooring
344-25,mooring
344-26,mooring
344-3,mooring
344-302,mooring
344-303,mooring
344-304,mooring
344-305,mooring
344-4,mooring
344-604,mooring
344-606,fish
344-607,fish
344-608,fish
344-7,mooring
344-72,mooring
344-73,mooring
344-74,mooring
344-8,mooring
344-887,airplane
344-888,airplane
344-889,airplane
344-890,airplane
35-0,calibration
35-310,humpback
35-311,humpback
35-313,humpback
35-314,humpback
35-324,humpback
35-325,humpback
350-0,calibration
350-723,mooring
350-724,mooring
350-725,mooring
350-727,flow noise
350-728,flow noise-mooring
350-729,flow noise-mooring
350-730,flow noise-humpback
350-731,flow noise-humpback
350-732,flow noise
350-749,humpback
354-0,calibration
354-369,humpback
354-370,humpback
354-371,humpback
354-373,humpback
354-374,humpback
361-0,calibration
361-570,humpback
361-571,humpback
361-573,fish-humpback
361-574,fish-humpback
361-575,fish-humpback
361-576,fish-humpback
361-577,fish
361-578,fish-humpback
361-579,fish-humpback
361-580,humpback
361-581,humpback
361-582,airplane
361-583,airplane
361-584,airplane
361-585,airplane
361-586,humpback
361-587,humpback
361-589,humpback
361-591,humpback
361-592,humpback
361-593,humpback
361-594,humpback
361-595,humpback
361-596,humpback
361-598,humpback
361-599,humpback
368-0,calibration
368-187,mooring
368-188,mooring
368-189,mooring
368-190,mooring
368-192,mooring
368-193,mooring
368-194,flow noise
368-195,flow noise
368-196,flow noise
368-197,flow noise
368-198,flow noise
368-199,flow noise
368-200,flow noise
368-201,flow noise
368-202,flow noise
368-206,mooring
371-0,calibration
371-751,flow noise
371-752,flow noise-humpback
371-753,flow noise
371-754,flow noise
371-755,flow noise
371-756,flow noise
374-0,calibration
374-302,mooring
374-303,mooring
374-306,flow noise
374-307,flow noise
374-308,flow noise
374-313,mooring
374-314,mooring
374-661,flow noise
374-662,flow noise
374-663,flow noise-mooring
374-664,flow noise-mooring
374-665,flow noise
374-677,mooring
374-678,mooring
374-679,mooring
374-684,mooring
374-685,mooring
374-686,mooring
374-687,mooring
374-811,flow noise
374-812,flow noise
374-813,flow noise
374-814,flow noise
374-815,flow noise
374-816,flow noise
374-817,flow noise
374-820,flow noise
374-821,flow noise
374-822,flow noise
374-823,flow noise
374-825,flow noise
374-826,flow noise-mooring
374-827,flow noise-mooring
374-836,mooring
374-837,mooring
379-0,calibration
379-420,humpback
379-421,humpback
379-422,humpback
379-424,humpback
379-425,humpback
379-429,humpback
379-430,humpback
379-431,flow noise
379-432,flow noise-humpback
379-433,flow noise-humpback
379-434,flow noise-humpback
379-436,humpback
379-438,flow noise
379-439,flow noise
379-440,flow noise
379-441,flow noise
379-448,humpback
379-449,humpback
383-0,calibration
383-721,humpback
383-723,humpback
383-724,humpback
383-725,humpback
383-726,humpback
383-727,humpback
383-728,humpback
383-729,humpback
383-730,humpback
383-732,humpback
383-734,humpback
383-736,humpback
383-738,humpback
383-739,humpback
383-740,humpback
383-741,humpback
383-742,humpback
383-743,humpback
383-744,humpback
383-746,humpback
383-747,humpback
383-749,humpback
383-751,humpback
383-752,humpback
383-753,humpback
383-754,humpback
383-755,humpback
383-756,humpback
383-757,humpback
383-758,humpback
383-762,humpback
383-763,humpback
383-765,humpback
383-766,humpback
383-767,humpback
383-768,humpback
383-769,humpback
383-770,humpback
383-771,humpback
383-772,humpback
383-773,humpback
383-775,humpback
383-776,humpback
383-778,humpback
383-779,humpback
383-876,fish
383-877,fish
383-878,fish
383-879,fish
383-880,fish
383-881,fish
383-882,fish
383-883,fish
383-884,fish
383-885,fish
383-886,fish
383-887,fish
383-888,fish
383-894,fish
383-895,fish
383-896,fish
383-897,fish
383-898,fish
393-0,calibration
393-424,humpback
393-425,humpback
393-426,humpback
393-427,humpback
393-428,humpback
393-430,humpback
393-432,humpback
393-440,humpback
393-441,humpback
393-442,humpback
393-443,humpback
393-444,humpback
393-445,humpback
398-0,calibration
398-330,flow noise-humpback
398-331,flow noise-humpback
398-332,flow noise-humpback
398-333,flow noise-humpback
398-334,flow noise-humpback
398-335,flow noise-humpback
398-336,humpback
398-342,flow noise
398-343,flow noise
398-344,flow noise
398-345,flow noise
398-346,flow noise-humpback
398-347,flow noise-humpback
398-348,flow noise
398-349,flow noise-humpback
398-350,humpback
398-357,flow noise
398-358,flow noise
398-359,flow noise
400-0,calibration
400-242,airplane
400-243,airplane
400-244,airplane
400-245,airplane
400-246,airplane
402-0,calibration
402-270,humpback
402-271,humpback
402-272,humpback
402-278,mooring
402-279,mooring
402-282,humpback
402-283,humpback
402-285,humpback
402-286,humpback
402-287,humpback
402-288,flow noise-humpback
402-289,flow noise-humpback
402-293,flow noise
402-294,flow noise
402-295,flow noise
404-0,calibration
404-691,humpback
404-692,humpback
404-698,humpback
404-699,humpback
404-700,humpback
404-701,humpback
404-702,humpback
404-709,humpback
404-710,humpback
404-711,humpback
404-712,humpback
404-713,humpback
407-0,calibration
407-810,flow noise-humpback
407-811,flow noise-humpback
407-812,flow noise-humpback
407-813,flow noise
407-814,flow noise-humpback
407-815,flow noise-humpback
407-816,flow noise-humpback
407-817,flow noise
407-818,flow noise
407-819,flow noise
407-820,flow noise
407-821,flow noise
407-822,flow noise
407-823,flow noise
407-824,flow noise
407-825,flow noise
407-826,flow noise
407-827,flow noise
407-829,flow noise-humpback
407-830,flow noise-humpback
407-831,flow noise-humpback
407-832,flow noise
407-833,flow noise-humpback
407-834,flow noise-humpback
407-835,flow noise-humpback
407-836,flow noise-humpback
407-837,flow noise-humpback
407-838,flow noise-humpback
407-839,flow noise
412-0,calibration
412-690,humpback
412-691,humpback
412-702,humpback
412-703,humpback
412-716,humpback
416-0,calibration
416-300,flow noise
416-301,flow noise
416-302,flow noise-humpback
416-303,flow noise-humpback
416-304,flow noise
416-305,flow noise
416-306,flow noise
416-307,flow noise
416-308,flow noise
416-309,flow noise
416-310,flow noise
416-311,flow noise-humpback
416-312,flow noise-humpback
416-313,flow noise-humpback
416-314,flow noise
416-315,flow noise
416-316,flow noise
416-317,flow noise
416-318,flow noise
416-319,flow noise
416-320,flow noise
416-321,flow noise-humpback
417-0,calibration
417-331,humpback
417-332,humpback
417-333,humpback
417-334,humpback
417-336,humpback
417-337,humpback
417-338,humpback
417-339,humpback
417-340,humpback
417-341,humpback
417-342,humpback
417-346,humpback
417-347,humpback
417-348,humpback
417-349,humpback
417-351,humpback
417-352,humpback
417-353,humpback
417-354,humpback
417-355,humpback
420-0,calibration
420-153,flow noise
420-154,flow noise
420-155,flow noise
420-156,flow noise
420-157,flow noise
420-158,flow noise
420-159,flow noise
420-160,flow noise
420-161,flow noise
420-162,flow noise
420-163,flow noise
420-164,flow noise
420-165,flow noise
420-166,flow noise
420-510,flow noise
420-511,flow noise
420-512,flow noise
420-513,flow noise
420-514,flow noise
420-515,flow noise
420-516,flow noise
420-517,flow noise
420-518,flow noise
420-519,flow noise
420-520,flow noise
420-521,flow noise-humpback
420-522,flow noise-humpback
420-523,flow noise
420-524,flow noise
420-525,flow noise
420-526,flow noise
420-527,flow noise
420-528,flow noise
420-529,flow noise
420-530,flow noise
420-531,flow noise
420-532,flow noise
420-533,flow noise
420-534,flow noise
420-535,flow noise
420-536,flow noise
420-537,flow noise
420-538,flow noise
420-539,flow noise
422-0,calibration
422-750,flow noise
422-751,flow noise
422-752,flow noise
422-753,flow noise
422-754,flow noise
422-755,flow noise
422-756,flow noise
422-757,flow noise
422-758,flow noise
422-759,flow noise
422-760,flow noise
422-761,flow noise
422-762,flow noise
422-763,flow noise
422-764,flow noise
422-765,flow noise
424-0,calibration
424-512,airplane
424-513,airplane
424-514,airplane
425-0,calibration
425-752,mooring
